date,action,price,contracts,portfolio_value,atr,stop_loss_price,take_profit_price,profit,exit_reason,entry_price,entry_portfolio,position_from,position_to
2021-09-15 15:40:00+00:00,sell,15509.180517988518,1,100.0,,,,-0.0,stop_loss,15509.5,100.0,1,0
2021-09-15 15:40:00+00:00,buy,15510.5,1,100.0,0.07563347528528329,15510.24004353869,15510.988028892254,,,,,0,1
2021-09-15 15:45:00+00:00,sell,15510.24004353869,1,100.0,,,,-0.0,stop_loss,15510.5,100.0,1,0
2021-09-15 15:45:00+00:00,buy,15506.0,1,100.0,0.08291966990447996,15505.715000482523,15506.535043438065,,,,,0,1
2021-09-15 15:50:00+00:00,sell,15505.715000482523,1,100.0,,,,-0.0,stop_loss,15506.0,100.0,1,0
2021-09-15 15:50:00+00:00,buy,15499.5,1,100.0,0.1207004445718933,15499.085145858615,15500.278825831243,,,,,0,1
2021-09-15 15:55:00+00:00,sell,15499.085145858615,1,100.0,,,,-0.0,stop_loss,15499.5,100.0,1,0
2021-09-15 15:55:00+00:00,buy,15497.25,1,100.0,0.12857900133240413,15496.808066820822,15498.079662624263,,,,,0,1
2021-09-15 16:00:00+00:00,sell,15496.808066820822,1,100.0,,,,-0.0,stop_loss,15497.25,100.0,1,0
2021-09-15 16:00:00+00:00,buy,15497.25,1,100.0,0.10367225949082234,15496.893672677852,15497.91895059054,,,,,0,1
2021-09-15 16:05:00+00:00,sell,15496.893672677852,1,100.0,,,,-0.0,stop_loss,15497.25,100.0,1,0
2021-09-15 16:05:00+00:00,buy,15498.25,1,100.0,0.0635217787731608,15498.031672113259,15498.659877547101,,,,,0,1
2021-09-15 16:10:00+00:00,sell,15498.031672113259,1,100.0,,,,-0.0,stop_loss,15498.25,100.0,1,0
2021-09-15 16:25:00+00:00,buy,15501.0,1,100.0,-0.07821111806803764,,,,,,,0,1
2021-09-15 20:00:00+00:00,sell,15497.5,1,100.0,,,,-0.0,end_of_day,15501.0,100.0,1,0
2021-09-16 14:20:00+00:00,buy,15476.75,1,100.0,0.20313612042725177,15476.051809855606,15478.060746272795,,,,,0,1
2021-09-16 14:25:00+00:00,sell,15476.051809855606,1,100.0,,,,-0.0,stop_loss,15476.75,100.0,1,0
2021-09-16 14:25:00+00:00,buy,15474.75,1,100.0,0.21125986777319047,15474.023888084133,15476.113165170687,,,,,0,1
2021-09-16 14:40:00+00:00,sell,15474.023888084133,1,100.0,,,,-0.0,stop_loss,15474.75,100.0,1,0
2021-09-16 14:40:00+00:00,buy,15474.75,1,100.0,0.1359133637633337,15474.282858209208,15475.62698797536,,,,,0,1
2021-09-16 14:45:00+00:00,sell,15474.282858209208,1,100.0,,,,-0.0,stop_loss,15474.75,100.0,1,0
2021-09-16 14:45:00+00:00,buy,15480.25,1,100.0,0.10923305275398598,15479.874559922113,15480.954831895293,,,,,0,1
2021-09-16 14:50:00+00:00,sell,15479.874559922113,1,100.0,,,,-0.0,stop_loss,15480.25,100.0,1,0
2021-09-16 14:50:00+00:00,buy,15489.5,1,100.0,0.12825101902857203,15489.059194114243,15490.327546301565,,,,,0,1
2021-09-16 14:55:00+00:00,sell,15489.059194114243,1,100.0,,,,-0.0,stop_loss,15489.5,100.0,1,0
2021-09-16 14:55:00+00:00,buy,15493.25,1,100.0,0.1162800195681038,15492.850339105218,15494.00030281138,,,,,0,1
2021-09-16 15:00:00+00:00,sell,15492.850339105218,1,100.0,,,,-0.0,stop_loss,15493.25,100.0,1,0
2021-09-16 15:00:00+00:00,buy,15499.75,1,100.0,0.1206198377765537,15499.335422908654,15500.528305711749,,,,,0,1
2021-09-16 15:05:00+00:00,sell,15499.335422908654,1,100.0,,,,-0.0,stop_loss,15499.75,100.0,1,0
2021-09-16 15:05:00+00:00,buy,15521.25,1,100.0,0.1997015526780329,15520.563614655992,15522.53858454761,,,,,0,1
2021-09-16 15:15:00+00:00,sell,15520.563614655992,1,100.0,,,,-0.0,stop_loss,15521.25,100.0,1,0
2021-09-16 15:15:00+00:00,buy,15511.0,1,100.0,0.25577468987042645,15510.12088816466,15512.650399351518,,,,,0,1
2021-09-16 15:20:00+00:00,sell,15510.12088816466,1,100.0,,,,-0.0,stop_loss,15511.0,100.0,1,0
2021-09-16 15:20:00+00:00,buy,15505.0,1,100.0,0.23421938353315364,15504.194974951452,15506.511312627892,,,,,0,1
2021-09-16 15:25:00+00:00,sell,15504.194974951452,1,100.0,,,,-0.0,stop_loss,15505.0,100.0,1,0
2021-09-16 19:30:00+00:00,buy,15495.0,1,100.0,-0.39677781640649157,,,,,,,0,1
2021-09-16 20:00:00+00:00,sell,15482.75,1,100.0,,,,-0.0,end_of_day,15495.0,100.0,1,0
2021-09-20 16:15:00+00:00,buy,14991.0,1,100.0,0.8901894002948335,14987.940369518616,14996.743992924865,,,,,0,1
2021-09-20 16:20:00+00:00,sell,14987.940369518616,1,100.0,,,,-0.0,stop_loss,14991.0,100.0,1,0
2021-09-20 16:30:00+00:00,buy,14996.0,1,100.0,0.8074913096796773,14993.22460745575,15001.210379238568,,,,,0,1
2021-09-20 16:35:00+00:00,sell,14993.22460745575,1,100.0,,,,-0.0,stop_loss,14996.0,100.0,1,0
2021-09-20 16:35:00+00:00,buy,14992.75,1,100.0,0.7714015115303078,14990.098650099313,14997.72750795841,,,,,0,1
2021-09-20 16:50:00+00:00,sell,14990.098650099313,1,100.0,,,,-0.0,stop_loss,14992.75,100.0,1,0
2021-09-20 16:50:00+00:00,buy,14990.25,1,100.0,0.6606424836417173,14987.979335038613,14994.512829630015,,,,,0,1
2021-09-20 16:55:00+00:00,sell,14987.979335038613,1,100.0,,,,-0.0,stop_loss,14990.25,100.0,1,0
2021-09-20 16:55:00+00:00,buy,14991.0,1,100.0,0.6127953914324082,14988.893788155805,14994.954093804768,,,,,0,1
2021-09-20 19:20:00+00:00,sell,14988.893788155805,1,100.0,,,,-0.0,stop_loss,14991.0,100.0,1,0
2021-09-20 19:20:00+00:00,buy,14985.75,1,100.0,0.037418732310923644,14985.621389735808,14985.991446296237,,,,,0,1
2021-09-20 19:25:00+00:00,sell,14985.621389735808,1,100.0,,,,-0.0,stop_loss,14985.75,100.0,1,0
2021-09-20 19:25:00+00:00,buy,14988.75,1,100.0,0.012212346340326346,14988.708025486374,14988.82880079335,,,,,0,1
2021-09-20 19:30:00+00:00,sell,14988.708025486374,1,100.0,,,,-0.0,stop_loss,14988.75,100.0,1,0
2021-09-20 19:30:00+00:00,buy,14987.25,1,100.0,-0.01774275842249682,,,,,,,0,1
2021-09-20 20:00:00+00:00,sell,15018.25,1,100.0,,,,-0.0,end_of_day,14987.25,100.0,1,0
2021-09-21 14:50:00+00:00,buy,15079.75,1,100.0,0.7035951215619841,15077.331704433045,15084.289983737037,,,,,0,1
2021-09-21 14:55:00+00:00,sell,15077.331704433045,1,100.0,,,,-0.0,stop_loss,15079.75,100.0,1,0
2021-09-21 15:00:00+00:00,buy,15077.0,1,100.0,0.7159743152401472,15074.53915645584,15081.619861121422,,,,,0,1
2021-09-21 15:05:00+00:00,sell,15074.53915645584,1,100.0,,,,-0.0,stop_loss,15077.0,100.0,1,0
2021-09-21 19:35:00+00:00,buy,14990.25,1,100.0,-0.0344479325027843,,,,,,,0,1
2021-09-21 20:00:00+00:00,sell,14960.5,1,100.0,,,,-0.0,end_of_day,14990.25,100.0,1,0
2021-09-22 18:45:00+00:00,buy,15183.25,1,100.0,0.08298179149274608,15182.96478696717,15183.785444280811,,,,,0,1
2021-09-22 19:35:00+00:00,sell,15182.96478696717,1,100.0,,,,-0.0,stop_loss,15183.25,100.0,1,0
2021-09-22 19:35:00+00:00,buy,15184.25,1,100.0,-0.13634456987949478,,,,,,,0,1
2021-09-22 20:00:00+00:00,sell,15197.0,1,100.0,,,,-0.0,end_of_day,15184.25,100.0,1,0
2021-09-23 13:30:00+00:00,buy,15341.25,1,100.0,0.33455492286751953,15340.10011612207,15343.408732859876,,,,,0,1
2021-09-23 13:35:00+00:00,sell,15340.10011612207,1,100.0,,,,-0.0,stop_loss,15341.25,100.0,1,0
2021-09-23 14:55:00+00:00,sell,15330.0,1,100.0,0.08200436816683818,15330.281853574494,15329.470862593509,,,,,0,-1
2021-09-23 15:00:00+00:00,buy,15330.281853574494,1,100.0,,,,-0.0,stop_loss,15330.0,100.0,-1,0
2021-09-24 14:55:00+00:00,buy,15302.5,1,100.0,0.020243648259622552,15302.430421454974,15302.630623182367,,,,,0,1
2021-09-24 15:00:00+00:00,sell,15302.430421454974,1,100.0,,,,-0.0,stop_loss,15302.5,100.0,1,0
2021-09-24 15:35:00+00:00,buy,15319.5,1,100.0,0.1201867255000048,15319.086911539638,15320.27551103249,,,,,0,1
2021-09-24 15:40:00+00:00,sell,15319.086911539638,1,100.0,,,,-0.0,stop_loss,15319.5,100.0,1,0
2021-09-24 15:40:00+00:00,buy,15325.0,1,100.0,0.09713075682840244,15324.666156186342,15325.626741207909,,,,,0,1
2021-09-24 15:45:00+00:00,sell,15324.666156186342,1,100.0,,,,-0.0,stop_loss,15325.0,100.0,1,0
2021-09-24 15:45:00+00:00,buy,15328.75,1,100.0,0.09768187928574094,15328.414261947803,15329.380297353933,,,,,0,1
2021-09-24 15:50:00+00:00,sell,15328.414261947803,1,100.0,,,,-0.0,stop_loss,15328.75,100.0,1,0
2021-09-24 15:50:00+00:00,buy,15323.5,1,100.0,0.09819358222167937,15323.16250319635,15324.133599143464,,,,,0,1
2021-09-24 15:55:00+00:00,sell,15323.16250319635,1,100.0,,,,-0.0,stop_loss,15323.5,100.0,1,0
2021-09-24 15:55:00+00:00,buy,15315.75,1,100.0,0.09607908766180848,15315.419770831762,15316.36995525848,,,,,0,1
2021-09-24 16:00:00+00:00,sell,15315.419770831762,1,100.0,,,,-0.0,stop_loss,15315.75,100.0,1,0
2021-09-27 13:30:00+00:00,buy,15181.75,1,100.0,0.4639822923159264,15180.155267054492,15184.743869623073,,,,,0,1
2021-09-27 13:35:00+00:00,sell,15180.155267054492,1,100.0,,,,-0.0,stop_loss,15181.75,100.0,1,0
2021-09-27 13:35:00+00:00,buy,15180.5,1,100.0,0.4714361299235862,15178.87964780005,15183.541965893897,,,,,0,1
2021-09-27 13:40:00+00:00,sell,15178.87964780005,1,100.0,,,,-0.0,stop_loss,15180.5,100.0,1,0
2021-09-27 13:50:00+00:00,buy,15192.0,1,100.0,0.43888908812625776,15190.491513792982,15194.831954431453,,,,,0,1
2021-09-27 13:55:00+00:00,sell,15190.491513792982,1,100.0,,,,-0.0,stop_loss,15192.0,100.0,1,0
2021-09-27 13:55:00+00:00,buy,15200.25,1,100.0,0.42079643327862515,15198.803699254013,15202.96521064479,,,,,0,1
2021-09-27 14:10:00+00:00,sell,15198.803699254013,1,100.0,,,,-0.0,stop_loss,15200.25,100.0,1,0
2021-09-27 14:10:00+00:00,buy,15208.0,1,100.0,0.3524806549204658,15206.78850438397,15210.274399568612,,,,,0,1
2021-09-27 14:15:00+00:00,sell,15206.78850438397,1,100.0,,,,-0.0,stop_loss,15208.0,100.0,1,0
2021-09-27 14:15:00+00:00,buy,15219.0,1,100.0,0.34401104353564943,15217.817614909383,15221.219748965208,,,,,0,1
2021-09-27 14:20:00+00:00,sell,15217.817614909383,1,100.0,,,,-0.0,stop_loss,15219.0,100.0,1,0
2021-09-27 14:20:00+00:00,buy,15205.0,1,100.0,0.34878858438306737,15203.801194235763,15207.250576293434,,,,,0,1
2021-09-27 14:25:00+00:00,sell,15203.801194235763,1,100.0,,,,-0.0,stop_loss,15205.0,100.0,1,0
2021-09-27 14:25:00+00:00,buy,15212.5,1,100.0,0.33244591943395,15211.357364884176,15214.645124406667,,,,,0,1
2021-09-27 14:30:00+00:00,sell,15211.357364884176,1,100.0,,,,-0.0,stop_loss,15212.5,100.0,1,0
2021-09-27 14:30:00+00:00,buy,15203.75,1,100.0,0.33112762449030114,15202.611895937222,15205.886618040688,,,,,0,1
2021-09-27 14:35:00+00:00,sell,15202.611895937222,1,100.0,,,,-0.0,stop_loss,15203.75,100.0,1,0
2021-09-27 14:35:00+00:00,buy,15195.0,1,100.0,0.3170279613516574,15193.910357263656,15197.045639238555,,,,,0,1
2021-09-27 15:00:00+00:00,sell,15193.910357263656,1,100.0,,,,-0.0,stop_loss,15195.0,100.0,1,0
2021-09-27 15:10:00+00:00,buy,15229.5,1,100.0,0.36049932883867386,15228.260943755713,15231.826140474805,,,,,0,1
2021-09-27 15:15:00+00:00,sell,15228.260943755713,1,100.0,,,,-0.0,stop_loss,15229.5,100.0,1,0
2021-09-27 15:15:00+00:00,buy,15223.75,1,100.0,0.3411559495080268,15222.577428026356,15225.951326324039,,,,,0,1
2021-09-27 15:20:00+00:00,sell,15222.577428026356,1,100.0,,,,-0.0,stop_loss,15223.75,100.0,1,0
2021-09-27 15:20:00+00:00,buy,15216.75,1,100.0,0.3205876196595531,15215.648122520062,15218.818608117008,,,,,0,1
2021-09-27 15:25:00+00:00,sell,15215.648122520062,1,100.0,,,,-0.0,stop_loss,15216.75,100.0,1,0
2021-09-27 15:25:00+00:00,buy,15213.75,1,100.0,0.2856836585273403,15212.76808937584,15215.593388511239,,,,,0,1
2021-09-27 15:30:00+00:00,sell,15212.76808937584,1,100.0,,,,-0.0,stop_loss,15213.75,100.0,1,0
2021-09-27 15:30:00+00:00,buy,15214.5,1,100.0,0.2841133890632698,15213.523486479327,15216.333256266698,,,,,0,1
2021-09-27 15:35:00+00:00,sell,15213.523486479327,1,100.0,,,,-0.0,stop_loss,15214.5,100.0,1,0
2021-09-27 15:35:00+00:00,buy,15216.25,1,100.0,0.270582405994776,15215.319993220732,15217.995946901987,,,,,0,1
2021-09-27 15:40:00+00:00,sell,15215.319993220732,1,100.0,,,,-0.0,stop_loss,15216.25,100.0,1,0
2021-09-27 15:40:00+00:00,buy,15217.5,1,100.0,0.26886973664789326,15216.575879760536,15219.234895814872,,,,,0,1
2021-09-27 15:45:00+00:00,sell,15216.575879760536,1,100.0,,,,-0.0,stop_loss,15217.5,100.0,1,0
2021-09-27 15:45:00+00:00,buy,15202.5,1,100.0,0.29138022247761414,15201.4985099687,15204.380145883339,,,,,0,1
2021-09-27 15:50:00+00:00,sell,15201.4985099687,1,100.0,,,,-0.0,stop_loss,15202.5,100.0,1,0
2021-09-27 18:30:00+00:00,buy,15181.0,1,100.0,-0.13261408222228968,,,,,,,0,1
2021-09-27 20:00:00+00:00,sell,15165.5,1,100.0,,,,-0.0,end_of_day,15181.0,100.0,1,0
2021-09-28 19:00:00+00:00,buy,14775.75,1,100.0,0.1988842147402608,14775.066423891945,14777.033310632498,,,,,0,1
2021-09-28 19:05:00+00:00,sell,14775.066423891945,1,100.0,,,,-0.0,stop_loss,14775.75,100.0,1,0
2021-09-28 19:15:00+00:00,buy,14781.25,1,100.0,0.09522725539449278,14780.922698626644,14781.864458766931,,,,,0,1
2021-09-28 19:20:00+00:00,sell,14780.922698626644,1,100.0,,,,-0.0,stop_loss,14781.25,100.0,1,0
2021-09-28 19:20:00+00:00,buy,14778.25,1,100.0,0.08813784528059623,14777.94706532352,14778.818713983268,,,,,0,1
2021-09-28 19:25:00+00:00,sell,14777.94706532352,1,100.0,,,,-0.0,stop_loss,14778.25,100.0,1,0
2021-09-28 19:25:00+00:00,buy,14774.75,1,100.0,0.06334262615430604,14774.532287870774,14775.158721555606,,,,,0,1
2021-09-28 19:30:00+00:00,sell,14774.532287870774,1,100.0,,,,-0.0,stop_loss,14774.75,100.0,1,0
2021-09-28 19:45:00+00:00,buy,14777.25,1,100.0,0.020628464753374924,14777.179098819282,14777.383106230602,,,,,0,1
2021-09-28 19:50:00+00:00,sell,14777.179098819282,1,100.0,,,,-0.0,stop_loss,14777.25,100.0,1,0
2021-09-28 19:50:00+00:00,buy,14789.5,1,100.0,0.05537557197130263,14789.30967107913,14789.857313728413,,,,,0,1
2021-09-28 20:00:00+00:00,sell,14812.25,1,100.0,,,,-0.0,end_of_day,14789.5,100.0,1,0
2021-09-29 19:15:00+00:00,buy,14790.25,1,100.0,-0.0472571175948067,,,,,,,0,1
2021-09-29 19:55:00+00:00,sell,14790.0,1,100.0,,,,-0.0,second_to_last_candle,14790.25,100.0,1,0
